cell,x,y,Ash,Basswood,Beech,Birch,Cedar.juniper,Cherry,Elm,Fir,Hemlock,Hickory,Maple,Oak,Other.hardwoods,Pine,Poplar,Spruce,Tamarack,Tulip.poplar,Walnut,Total
2973,29000,1414000,0.312027079,0,0,0.072161028,0,0,0.096392841,0.078436754,0,0,0.335395661,1.454628562,0,0,1.158908541,0.114989187,0.089733851,0,0,1.677471762
2974,37000,1414000,0.297724842,0,0,0.074485594,0,0,0.084254218,0.080635092,0,0,0.270218082,1.348322059,0,0,1.111505179,0.119817845,0.094925454,0,0,1.554604511
2975,45000,1414000,0.288018766,0,0,0.076183075,0,0,0.073394738,0.083094582,0,0,0.218557087,1.184527566,0,0,1.057324854,0.124194837,0.100904172,0,0,1.448452094
2977,61000,1414000,0.305971054,0.161061909,0,0.085699648,0.120099815,0,0.058236074,0.093057274,0,0,0.154747031,0.923487765,0,0,1.013832035,0.138353505,0.124578506,0,0,1.292944116
2978,69000,1414000,0.30955485,0.149316851,0,0.092691378,0.130548112,0,0.0519112,0.09874242,0,0,0.133846198,0.767461035,0,0.240666503,0.982296134,0.146912807,0.140485932,0,0,1.24197643
2979,77000,1414000,0.296383409,0.13728151,0,0.099752963,0.143863545,0,0.045892036,0.103908927,0,0,0.11663185,0.600912765,0,0.26925456,0.929777084,0.155201913,0.156419161,0,0,1.204696215
2981,93000,1414000,0.251371226,0.11333821,0,0.116292556,0.187276282,0,0.036045677,0.115835266,0,0,0.090631444,0.338331373,0,0.367252662,0.829585649,0.17380627,0.19295945,0,0,1.153234784
2982,101000,1414000,0.228348852,0.101749704,0,0.124615003,0.215848368,0,0.032006554,0.121988823,0,0,0.080744264,0.250363493,0,0.436745002,0.78139696,0.182365001,0.209224026,0,0,1.129183574
2983,109000,1414000,0.21742396,0.093026841,0,0.134601859,0.257228512,0,0.028870306,0.129928212,0,0,0.07366848,0.193311472,0,0.532439118,0.759928696,0.193657097,0.229624707,0,0,1.104559483
2984,117000,1414000,0.216959222,0.085989055,0,0.143919493,0.312863273,0,0.026349663,0.137683394,0,0,0.068693243,0.155017645,0,0.635708149,0.755415716,0.206068509,0.252199972,0,0,1.082661254
2985,125000,1414000,0.224271798,0.079707668,0,0.148327744,0.376457649,0,0.024195447,0.141749098,0,0,0.065111198,0.128304749,0,0.697801433,0.754682578,0.215816421,0.270066326,0,0,1.066645618
2986,133000,1414000,0.242864676,0.07537905,0,0.148567852,0.450543558,0,0.022484022,0.14374849,0,0,0.06287139,0.111327277,0,0.709121842,0.771434145,0.226272917,0.288342058,0,0,1.058172584
2987,141000,1414000,0.261269889,0.070677101,0,0.140040611,0.500064866,0,0.020800888,0.140621682,0,0,0.060744194,0.098162089,0,0.616847887,0.779851004,0.232797109,0.293474705,0,0,1.058562988
2988,149000,1414000,0.298412991,0.06791682,0,0.134584222,0.58308034,0,0.019583453,0.141260577,0,0,0.060335696,0.091272057,0,0.547870127,0.82280503,0.249429067,0.313678047,0,0,1.067419504
2989,157000,1414000,0.339992337,0.065197326,0,0.129772236,0.684135863,0,0.018504101,0.142593229,0,0,0.060603861,0.084888903,0,0.481078371,0.857638687,0.270248604,0.334503242,0,0,1.083299167
3270,37000,1406000,0.293391906,0.240669025,0,0.073656,0,0,0.090850925,0.077989696,0,0,0.286489428,1.450247745,0,0,1.113950879,0.114901706,0.090737165,0,0,1.520121305
3271,45000,1406000,0.286625499,0.207223908,0,0.075915389,0,0,0.07968261,0.081066349,0,0,0.230624263,1.316655276,0,0,1.071465313,0.119863936,0.098102549,0,0,1.422544596
3272,53000,1406000,0.286041971,0.182464613,0,0.078791697,0,0,0.070009223,0.084945924,0,0,0.18848706,1.158098128,0,0,1.031467458,0.124605756,0.107558151,0,0,1.343450285
3273,61000,1406000,0.291778139,0.165654708,0,0.083667991,0.112266571,0,0.062116372,0.090035535,0,0,0.15796014,1.006178943,0,0,1.003872717,0.130673894,0.120729393,0,0,1.281291765
3274,69000,1406000,0.293274909,0.152197955,0,0.08993564,0.122131455,0,0.055284329,0.095614965,0,0,0.135014221,0.838709762,0,0.226473479,0.974076972,0.137946693,0.137294905,0,0,1.234335951
3275,77000,1406000,0.284007799,0.139856448,0,0.09688478,0.136195775,0,0.049110586,0.101222909,0,0,0.11707436,0.660605521,0,0.255341346,0.934394636,0.146181262,0.156434274,0,0,1.198059152
3276,85000,1406000,0.269036184,0.129270421,0,0.10534374,0.157458077,0,0.043800753,0.107646482,0,0,0.103087289,0.502614176,0,0.299755207,0.897747926,0.15644949,0.179296889,0,0,1.168904924
3277,93000,1406000,0.244621131,0.117082497,0,0.113503296,0.183178685,0,0.038702948,0.113384709,0,0,0.090619744,0.367475781,0,0.35641747,0.842881544,0.165483065,0.199613793,0,0,1.141761867
3278,101000,1406000,0.221108929,0.105520685,0,0.121624866,0.214613509,0,0.034170296,0.118954114,0,0,0.080286437,0.268787626,0,0.424438727,0.783617866,0.173687827,0.216390663,0,0,1.111096364
3279,109000,1406000,0.210766998,0.097578351,0,0.132461197,0.262745188,0,0.030742265,0.127072312,0,0,0.073155958,0.207215885,0,0.523381303,0.755672443,0.185922709,0.239083762,0,0,1.077938532
3280,117000,1406000,0.211546576,0.091746422,0,0.143794021,0.330541407,0,0.028049114,0.135951606,0,0,0.068299651,0.166375215,0,0.640709682,0.749569398,0.20083938,0.266527718,0,0,1.046693043
3281,125000,1406000,0.209098183,0.083402156,0,0.143094779,0.381911952,0,0.025216059,0.135019897,0,0,0.063522603,0.131991659,0,0.655069195,0.710495412,0.204041791,0.26980556,0,0,1.021985632
3282,133000,1406000,0.218921083,0.07735531,0,0.138862512,0.43227538,0,0.023084126,0.13274012,0,0,0.060389686,0.110818684,0,0.626270565,0.697329803,0.207698155,0.273742115,0,0,1.007067811
3283,141000,1406000,0.239048046,0.072677177,0,0.131944375,0.471707493,0,0.021421921,0.130188232,0,0,0.058482918,0.09775511,0,0.557368855,0.705068756,0.21291561,0.278160554,0,0,1.003137246
3284,149000,1406000,0.275976059,0.069838313,0,0.127237155,0.529533258,0,0.020246312,0.130878199,0,0,0.058256008,0.090838637,0,0.498118766,0.743057474,0.225811396,0.294086276,0,0,1.009924967
3285,157000,1406000,0.322586755,0.06793285,0,0.124146065,0.616782547,0,0.019295829,0.133328198,0,0,0.059046308,0.085459021,0,0.445819349,0.787200667,0.244931477,0.315455526,0,0,1.025629563
3286,165000,1406000,0.351057399,0.064539315,0,0.118571378,0.697898342,0,0.018142581,0.132049725,0,0,0.059047952,0.077064703,0,0.378305392,0.790035752,0.259757864,0.319760882,0,0,1.047864391
