cell,x,y,Ash,Basswood,Beech,Birch,Cedar.juniper,Cherry,Elm,Fir,Hemlock,Hickory,Maple,Oak,Other.hardwood,Pine,Poplar,Spruce,Tamarack,Tulip.poplar,Walnut,Total
2974,37000,1414000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.12039088,NA,NA,7.538809468,NA,NA,NA,NA,9.399336604
2975,45000,1414000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.10148289,NA,NA,NA,NA,22.10148289
2977,61000,1414000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2978,69000,1414000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2979,77000,1414000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2981,93000,1414000,NA,NA,NA,NA,NA,NA,11.76815363,NA,NA,NA,NA,NA,NA,NA,NA,55.77269336,NA,NA,NA,33.7704235
2982,101000,1414000,NA,NA,NA,NA,NA,NA,NA,45.85628045,NA,NA,NA,NA,NA,NA,30.14083161,4.977444669,NA,NA,NA,26.99151891
2983,109000,1414000,NA,NA,NA,7.534297888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.534297888
2984,117000,1414000,19.86034069,NA,NA,NA,NA,NA,NA,17.79610195,NA,NA,NA,NA,NA,9.510685923,20.18556457,NA,NA,NA,NA,16.83817328
2985,125000,1414000,NA,NA,NA,4.951873347,NA,NA,NA,4.155971573,NA,NA,NA,NA,NA,6.560300589,25.19849576,27.05692534,NA,NA,NA,13.58471332
2986,133000,1414000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.40995361,2.638604666,NA,NA,NA,NA,10.52427914
2987,141000,1414000,NA,NA,NA,2.805214831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.20171012,NA,13.20069612,NA,NA,13.1023328
2988,149000,1414000,23.65809605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.06065916,NA,NA,NA,NA,43.25980479
2989,157000,1414000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.38125289,NA,NA,NA,NA,37.38125289
3270,37000,1406000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.37980657,NA,NA,15.90194452,NA,NA,NA,NA,34.06123187
3271,45000,1406000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2578763,NA,NA,14.74386208,2.092415119,NA,NA,NA,12.45950389
3272,53000,1406000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.993411198,NA,NA,NA,NA,4.993411198
3273,61000,1406000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3274,69000,1406000,4.231495087,NA,NA,8.390968227,NA,NA,NA,10.80148509,NA,NA,NA,3.033756349,NA,NA,14.97775686,NA,NA,NA,NA,8.287092323
3275,77000,1406000,2.345029148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.81743756,NA,NA,NA,NA,37.58123335
3276,85000,1406000,29.66719686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.79636171,NA,NA,NA,NA,20.23177929
3277,93000,1406000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.59987704,NA,NA,NA,NA,31.59987704
3278,101000,1406000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.27230864,3.767363698,NA,NA,NA,NA,42.01983617
3279,109000,1406000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.24835547,8.938062312,6.113858092,NA,NA,28.49733873
3280,117000,1406000,NA,NA,NA,29.75461029,NA,NA,NA,2.132030043,NA,NA,NA,NA,NA,60.38692125,4.323684422,11.76445505,NA,NA,NA,21.67234021
3281,125000,1406000,NA,NA,NA,NA,NA,NA,NA,5.890767445,NA,NA,NA,NA,NA,NA,2.426616229,5.282861813,NA,NA,NA,4.533415163
3282,133000,1406000,NA,NA,NA,NA,NA,NA,NA,3.686393156,NA,NA,NA,NA,NA,NA,NA,14.69913349,6.412187667,NA,NA,8.265904771
3283,141000,1406000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.74484575,NA,NA,NA,NA,NA,23.74484575
3284,149000,1406000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.224871436,NA,NA,NA,NA,2.224871436
3285,157000,1406000,6.019102337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.7642906,NA,NA,NA,NA,31.89169647
3286,165000,1406000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.95012607,NA,NA,NA,NA,16.95012607
3287,173000,1406000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5619341,2.89876776,NA,NA,NA,11.34087866
3289,189000,1406000,74.89588087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.00411456,4.438359939,NA,NA,NA,NA
3564,21000,1398000,NA,NA,NA,NA,NA,NA,7.086756364,NA,NA,NA,NA,NA,NA,NA,11.02257568,NA,NA,NA,NA,9.054666022
3565,29000,1398000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.298529352,NA,NA,NA,NA,NA,NA,NA,6.298529352
3566,37000,1398000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.0432239,NA,NA,12.1872954,NA,NA,NA,NA,13.61525965
3567,45000,1398000,2.639480431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.63622671,NA,NA,19.97694778,NA,NA,NA,NA,17.17316588
3568,53000,1398000,NA,NA,NA,NA,NA,NA,2.874098343,NA,NA,NA,NA,21.14458236,NA,NA,44.10629578,8.924695481,NA,NA,NA,19.26241799
3569,61000,1398000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123.9711511,NA,NA,37.28387106,NA,NA,NA,NA,66.17963109
3570,69000,1398000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3571,77000,1398000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3572,85000,1398000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.937431967,6.033501416,9.337280169,NA,NA,6.102737851
3573,93000,1398000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.59808279,NA,NA,NA,NA,30.59808279
3574,101000,1398000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.175362561,NA,NA,2.175362561
3575,109000,1398000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.951500767,NA,13.58904461,NA,NA,10.77027269
3576,117000,1398000,NA,NA,NA,NA,NA,NA,NA,5.712331173,NA,NA,NA,NA,NA,NA,6.771897983,12.34570085,10.53401086,NA,NA,9.179590347
3577,125000,1398000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.23029903,NA,NA,NA,NA,9.23029903
3578,133000,1398000,NA,NA,NA,NA,6.380472818,NA,NA,NA,NA,NA,NA,NA,NA,3.771430094,NA,21.21212767,41.3386467,NA,NA,16.71587963
3579,141000,1398000,NA,NA,NA,NA,29.11836155,NA,NA,NA,NA,NA,NA,NA,NA,49.56327957,8.062912767,NA,NA,NA,NA,28.9148513
3580,149000,1398000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.550514749,NA,NA,4.550514749
3581,157000,1398000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.18060623,7.219128054,1.958340294,NA,NA,16.78602486
3582,165000,1398000,4.333264182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.06256392,NA,3.608526422,NA,NA,8.334784842
3583,173000,1398000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.11980817,NA,2.464637626,NA,NA,23.7922229
3584,181000,1398000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.437009131,NA,NA,NA,4.437009131
3585,189000,1398000,NA,NA,NA,NA,3.312282787,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.68401104,NA,NA,NA,NA,29.49814692
3586,197000,1398000,NA,NA,NA,NA,4.597411727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.216456032,11.47141823,NA,NA,NA
3587,205000,1398000,8.258090994,NA,NA,NA,48.77875128,NA,NA,2.067312297,NA,NA,NA,NA,NA,NA,2.159874901,NA,NA,NA,NA,NA
3588,213000,1398000,NA,NA,NA,3.321736606,NA,NA,NA,9.705733525,NA,NA,NA,NA,NA,NA,63.26714202,5.078096599,NA,NA,NA,NA
3858,5000,1390000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3860,21000,1390000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3861,29000,1390000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3862,37000,1390000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.03543902,NA,NA,NA,NA,12.03543902
3863,45000,1390000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.78477798,NA,NA,NA,NA,77.78477798
3864,53000,1390000,NA,NA,NA,NA,NA,NA,3.744135423,NA,NA,NA,NA,NA,NA,NA,6.250524517,NA,NA,NA,NA,5.415061486
3866,69000,1390000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.43114755,NA,NA,13.21359091,NA,NA,NA,NA,29.82236923
3867,77000,1390000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.224871436,NA,NA,NA,NA,2.224871436
3868,85000,1390000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.414917335,NA,NA,NA,NA,5.414917335
3869,93000,1390000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.95165437,NA,NA,NA,NA,11.95165437
3870,101000,1390000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.51201552,NA,NA,NA,NA,28.51201552
3871,109000,1390000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.70420291,NA,NA,NA,NA,16.70420291
3872,117000,1390000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.420752519,NA,8.99455437,NA,NA,6.707653444
3873,125000,1390000,16.19810653,NA,NA,4.500392032,NA,NA,NA,38.02413905,NA,NA,NA,NA,NA,NA,27.22673327,NA,NA,NA,NA,20.70046135
3874,133000,1390000,NA,NA,NA,NA,4.220386525,NA,NA,11.02059717,NA,NA,NA,NA,NA,12.14881758,28.65513725,5.396435169,2.065262683,NA,NA,9.843295936
3875,141000,1390000,NA,NA,NA,4.50904954,107.8555065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.40668751
3876,149000,1390000,11.89311028,NA,NA,12.44713918,16.59057814,NA,NA,27.04254855,NA,NA,NA,7.653446957,NA,NA,9.165484448,22.18788781,NA,NA,NA,14.51820998
3877,157000,1390000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.76271384,NA,NA,NA,NA,57.76271384
3878,165000,1390000,42.42124894,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.032274314,NA,NA,NA,105.6513522,NA,31.56399041,NA,NA,45.91721647
3879,173000,1390000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3880,181000,1390000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3881,189000,1390000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.590178156,NA,NA,4.590178156
3882,197000,1390000,41.73895387,NA,NA,NA,4.903805362,NA,NA,5.772960688,NA,NA,NA,NA,NA,NA,10.13711371,4.107479893,10.98521162,NA,NA,11.67900072
3883,205000,1390000,NA,NA,NA,7.679975519,32.51386766,NA,NA,4.05936143,NA,NA,NA,NA,NA,NA,24.36658522,34.92696475,22.16403812,NA,NA,20.95179878
3884,213000,1390000,NA,NA,NA,NA,89.27837292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.344594012,3.601394949,NA,NA,46.1256837
3885,221000,1390000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4155,13000,1382000,NA,NA,NA,NA,NA,NA,6.037236198,NA,NA,NA,NA,NA,NA,NA,13.34274183,NA,NA,NA,NA,9.689989012
4157,29000,1382000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.52749587,NA,NA,NA,NA,35.52749587
4162,69000,1382000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.17386152,NA,NA,NA,NA,3.17386152
4163,77000,1382000,3.037182163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.46370519,NA,NA,NA,NA,NA,NA,NA,8.65486418
4164,85000,1382000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4165,93000,1382000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.298529352,NA,NA,9.29958708,NA,NA,NA,NA,7.799058216
4166,101000,1382000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.93458467,NA,NA,NA,NA,52.93458467
4167,109000,1382000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.25547243,NA,NA,NA,NA,33.25547243
4168,117000,1382000,NA,NA,NA,NA,7.640298783,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.93414226,2.344594012,21.20934297,NA,NA,13.0675442
4169,125000,1382000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4170,133000,1382000,NA,NA,NA,14.34283916,71.65378402,NA,NA,2.197942302,NA,NA,NA,NA,NA,NA,NA,NA,6.946468955,NA,NA,20.41750068
4171,141000,1382000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.45019266,NA,NA,NA,12.45019266
4172,149000,1382000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.77823146,NA,4.550514749,NA,NA,19.6643731
