"x","y","cell","avg_biomass_by_plot","count"
221000,1350000,5365,39.268710189814,3
229000,1350000,5366,41.8237739187414,1
237000,1350000,5367,7.21779339998734,3
245000,1350000,5368,24.2454153808516,3
253000,1350000,5369,3.84576188671319,2
261000,1350000,5370,7.08215144396244,4
269000,1350000,5371,30.7589789895216,2
277000,1350000,5372,19.2604512267374,3
285000,1350000,5373,19.3632999966414,5
293000,1350000,5374,27.3064289962225,3
301000,1350000,5375,56.1861065429659,2
309000,1350000,5376,49.8605644847331,3
317000,1350000,5377,58.7555969411905,2
333000,1350000,5379,192.523454803036,1
21000,1342000,5636,95.9341758286424,1
29000,1342000,5637,31.9533663025913,1
77000,1342000,5643,31.9802634288517,1
93000,1342000,5645,NA,0
101000,1342000,5646,52.3927645576764,1
109000,1342000,5647,74.4614082982986,4
117000,1342000,5648,41.1116821064591,2
125000,1342000,5649,NA,0
133000,1342000,5650,99.9132741252434,2
141000,1342000,5651,110.721173926087,2
157000,1342000,5653,120.990964897599,1
165000,1342000,5654,36.4999686382139,2
173000,1342000,5655,25.1617260116918,3
181000,1342000,5656,49.0057506427416,2
189000,1342000,5657,NA,0
197000,1342000,5658,2.18621296813625,2
205000,1342000,5659,NA,0
213000,1342000,5660,30.3171932525314,2
221000,1342000,5661,47.6534666721208,4
229000,1342000,5662,55.2621386572632,3
237000,1342000,5663,20.7473306958545,3
245000,1342000,5664,70.5402737185509,2
253000,1342000,5665,40.8846575000667,4
261000,1342000,5666,19.7651049721183,3
269000,1342000,5667,35.3168549408496,3
277000,1342000,5668,2.15987490113863,1
285000,1342000,5669,10.5347291326268,2
293000,1342000,5670,37.8131818730142,3
301000,1342000,5671,40.7537241516649,3
309000,1342000,5672,41.419635657071,5
317000,1342000,5673,36.3023378419971,2
349000,1342000,5677,75.5545341743877,1
-19000,1334000,5927,NA,0
21000,1334000,5932,93.9423452095596,1
37000,1334000,5934,75.8806852002923,1
53000,1334000,5936,33.0719386008537,1
85000,1334000,5940,NA,0
93000,1334000,5941,NA,0
101000,1334000,5942,NA,0
133000,1334000,5946,142.41050212655,1
141000,1334000,5947,132.480216866161,1
149000,1334000,5948,55.8549149851379,5
157000,1334000,5949,20.6615427935706,5
165000,1334000,5950,51.9470048599069,4
173000,1334000,5951,22.9478989190867,2
181000,1334000,5952,4.46248294353243,2
189000,1334000,5953,25.70613917226,2
197000,1334000,5954,35.058906509209,1
205000,1334000,5955,67.3088302128178,3
213000,1334000,5956,13.6104253239768,1
221000,1334000,5957,2.34651162646486,1
229000,1334000,5958,57.2741403771735,4
237000,1334000,5959,40.8720966976681,1
245000,1334000,5960,78.800001977999,3
253000,1334000,5961,83.9757041824851,4
261000,1334000,5962,109.243123126881,3
269000,1334000,5963,129.807307343553,3
