"STATECD","CN","x","y","cell"
27,221348094010661,205000,1358000,5067
27,242379599010661,205000,1358000,5067
27,242379690010661,213000,1358000,5068
27,169106613010661,213000,1358000,5068
27,15739944020004,213000,1358000,5068
27,169103251010661,213000,1358000,5068
27,221344764010661,213000,1358000,5068
27,221347870010661,221000,1358000,5069
27,15742256020004,221000,1358000,5069
27,221347874010661,221000,1358000,5069
27,242382255010661,221000,1358000,5069
27,108302503010661,221000,1358000,5069
27,108297157010661,221000,1358000,5069
27,221347668010661,229000,1358000,5070
27,242379687010661,229000,1358000,5070
27,169106607010661,229000,1358000,5070
27,221344760010661,229000,1358000,5070
27,108297151010661,237000,1358000,5071
27,221347866010661,237000,1358000,5071
27,108302245010661,237000,1358000,5071
27,15741223020004,237000,1358000,5071
27,242381266010661,237000,1358000,5071
27,221347658010661,245000,1358000,5072
27,242379799010661,245000,1358000,5072
27,108296947010661,245000,1358000,5072
27,15741221020004,253000,1358000,5073
27,221345156010661,253000,1358000,5073
27,169108749010661,253000,1358000,5073
27,108301936010661,253000,1358000,5073
27,108296617010661,261000,1358000,5074
27,108305477010661,261000,1358000,5074
27,221347518010661,261000,1358000,5074
27,242381091010661,261000,1358000,5074
27,15739971020004,261000,1358000,5074
27,221345152010661,269000,1358000,5075
27,242379897010661,269000,1358000,5075
27,15741275020004,269000,1358000,5075
27,221347514010661,277000,1358000,5076
27,242381088010661,277000,1358000,5076
27,108296608010661,277000,1358000,5076
27,242382087010661,285000,1358000,5077
27,108301927010661,285000,1358000,5077
27,169106065010661,285000,1358000,5077
27,242379969010661,285000,1358000,5077
27,15741177020004,285000,1358000,5077
27,242380995010661,293000,1358000,5078
27,221345344010661,293000,1358000,5078
27,169102444010661,293000,1358000,5078
27,108296335010661,293000,1358000,5078
27,15741175020004,293000,1358000,5078
27,242379968010661,301000,1358000,5079
27,108296326010661,301000,1358000,5079
27,242380992010661,301000,1358000,5079
27,221343108010661,309000,1358000,5080
27,108304868010661,309000,1358000,5080
27,169102440010661,309000,1358000,5080
